date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWarsza,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczLacz04
16/02/28,08:00,73.3099,60.864,57.3539,20.4177,44.1044,20.6,15.888,32.0054,37.5481,,,44.259
16/02/28,16:00,44.028,62.132,94.2212,22.7083,125.954,32.0,22.0817,19.203,106.503,,52.6,36.4998
16/02/29,00:00,60.4836,76.08,49.7111,84.7043,78.5564,92.8,101.794,3.14944,46.473,,60.7,29.7288
16/02/29,08:00,39.9075,46.916,54.8855,82.402,55.6928,27.6,88.3725,3.73331,74.7176,,42.3,19.9958
16/02/29,16:00,53.3564,48.184,54.0835,27.0425,45.566,29.3,34.3117,2.98578,51.516,27.7261,31.1,13.8049
16/03/01,00:00,21.9875,13.948,32.3668,57.3024,33.8732,13.3,41.5599,10.4297,20.6845,27.1338,,20.1289
16/03/01,08:00,27.6721,13.948,16.1522,26.4669,23.9552,18.6,9.06016,6.85056,13.0191,24.5626,23.98,11.4037
16/03/01,16:00,39.6676,29.164,41.9767,14.5177,45.9836,13.9,9.47332,5.81544,32.2454,21.3575,29.6,34.232
16/03/02,00:00,48.1671,35.504,56.4285,13.0603,31.6808,14.6,16.4044,18.9771,34.0608,30.3899,36.83,31.7042
16/03/02,08:00,54.0865,34.236,48.7515,21.3472,46.4012,20.4,28.3285,39.8058,32.7531,48.8979,42.2,43.709
16/03/02,16:00,38.5497,55.792,59.5423,25.222,28.862,32.1,14.5624,31.0748,22.8464,45.1789,,27.2138
16/03/03,00:00,48.041,72.276,87.3008,56.9774,53.0828,34.9,23.9242,30.6694,34.6498,41.1985,42.7,7.0654
16/03/03,08:00,49.8613,,44.9266,113.823,42.7472,28.7,21.8676,31.545,41.6152,54.3239,47.2,14.2878
16/03/03,16:00,21.8054,51.988,102.307,28.1895,63.314,27.7,23.5023,19.8396,54.552,53.6519,44.1328,11.2486
16/03/04,00:00,81.5231,65.936,54.2162,54.142,59.2424,12.0,49.3394,24.2789,70.7572,42.4894,38.5304,46.5686
16/03/04,08:00,41.4097,60.864,67.928,41.0548,38.78,12.1,27.5712,31.4325,33.9325,27.1076,66.9,45.2363
16/03/04,16:00,45.563,71.008,86.525,34.1246,30.2192,15.6,17.8185,6.30158,65.2813,35.609,42.3385,25.8993
16/03/05,00:00,62.2061,74.812,80.4988,46.7493,40.868,21.8,36.4999,19.1161,111.303,22.1419,56.5013,39.4163
16/03/05,08:00,94.9864,34.236,78.0757,24.9033,39.5108,18.9,48.8692,9.87286,51.9956,33.0625,58.4275,57.7374
16/03/05,16:00,45.3216,62.132,62.8422,11.1928,68.3252,19.4,30.5837,8.69358,24.2829,29.2478,43.3341,56.8812
16/03/06,00:00,58.4097,54.524,67.8388,16.7021,66.7592,23.4,19.12,11.8207,21.2751,38.9922,65.4799,57.0222
16/03/06,08:00,25.5795,27.896,55.8494,5.6916,38.6756,32.6,22.0166,18.6565,26.354,40.5043,53.2664,73.0964
16/03/06,16:00,25.9876,48.184,23.1424,7.70091,39.0932,30.6,20.7268,10.7297,23.1428,35.7976,53.5,22.461
16/03/07,00:00,34.4002,54.524,95.3373,57.3893,33.7688,22.3,18.0179,23.0039,117.493,23.4858,32.0126,27.6664
16/03/07,08:00,50.5284,63.4,92.664,56.2976,52.0388,60.5,40.7785,23.0519,93.468,36.2658,39.2783,36.9705
16/03/07,16:00,20.9248,43.112,65.114,15.9402,59.66,20.4,19.2967,19.2668,74.0204,37.9625,27.1274,44.574
16/03/08,00:00,23.6233,87.492,53.1116,19.5534,57.05,14.8,25.6763,116.37,102.732,56.8211,32.1,46.5771
16/03/08,08:00,33.6515,51.988,38.4677,37.1011,33.9776,8.1,14.819,18.9373,30.2009,38.4231,27.9461,22.0197
16/03/08,16:00,57.9069,25.36,46.6846,28.7245,52.5608,10.2,32.0394,7.34489,70.4839,31.7846,,13.4042
16/03/09,00:00,26.993,74.812,91.4407,119.833,46.61,27.9,134.986,34.8965,69.7862,30.8767,49.2,65.1819
