time,PdBialWaszynCO1g,PdHajnowkJagMOBCO1g,PkNiskoSzklaCO1g,PkRzeszRejtaCO1g,PmGdaLeczk08CO1g,PmGdaOstrz05CO1g,PmGdaPoWie01CO1g,PmGdaWyzwo03CO1g,PmGdyPoreb04CO1g,PmKosTargo12CO1g,PmLebMalcz16CO1g,PmLinieKos17CO1g,PmMalMicki15CO1g,PmSlupKniaziCO1g,PmSopBitPl06CO1g,PmStaGdaLubiCO1g,PmTczeTarg07CO1g,WmElbBazynskCO1g,WmGoldJacwieCO1g,WmOlsPuszkinCO1g,WmOstrChrobrCO1g,ZpSzczPils02CO1g
1/23/16 0:00,0.505,,0.70215,1.90248,0.768966,0.203134,1.37206,0.965653,0.535882,2.90403,0.967687,0.693655,0.573653,0.761195,0.448223,1.272,0.669153,0.532842,0.438333,0.653921,0.789944,0.27059
1/23/16 6:00,0.513,,1.12222,1.42057,0.631535,0.217759,0.613158,0.69938,0.405167,1.00395,0.506969,0.501348,0.603129,0.637896,0.515386,0.779,0.791477,0.309873,0.237652,0.884447,0.738728,0.23338
1/23/16 12:00,0.623,,1.02766,0.49982,0.854219,0.351896,1.14653,,0.837558,0.948631,1.39573,0.694954,0.616493,0.878341,0.687814,0.85,0.696725,0.377757,0.185179,0.553828,0.665735,0.42004
1/23/16 18:00,1.193,,1.64994,0.79929,0.914605,0.389242,0.853419,0.770209,0.96002,1.21052,2.22892,0.896079,0.697498,1.04849,0.818376,1.083,0.88646,0.542422,0.467095,0.61941,1.27618,0.66721
1/24/16 0:00,0.491,,2.03429,0.65792,0.971121,0.543486,1.24643,1.1729,0.842189,1.10405,1.39407,0.929441,0.876409,1.04346,0.969912,1.011,1.05324,0.586624,0.689397,0.676273,1.02146,0.664
1/24/16 6:00,0.296,,1.1484,0.49741,0.639202,0.467783,0.660501,0.857116,0.534902,0.896079,0.586364,0.757299,0.798775,0.746357,0.659916,0.674,0.777164,0.755591,0.32807,0.814241,1.07973,0.18231
1/24/16 12:00,0.504,,0.77958,0.71484,0.677563,0.499484,0.953113,0.75608,0.596465,0.828837,0.91576,0.608624,0.675261,,0.696342,0.741,,0.711225,0.663706,0.933493,0.966603,0.37507
1/24/16 18:00,0.964,,1.1885,1.02016,0.358431,0.358571,0.327374,0.181513,0.396354,0.687483,0.798268,0.338442,0.408374,0.876465,0.387205,0.375,0.27134,0.210993,0.667328,0.473673,0.671478,0.28538
1/25/16 0:00,0.551,,0.68261,0.62585,0.391373,0.384781,0.308303,0.195141,0.369057,0.574201,0.86207,0.37669,0.392045,0.641498,0.379444,0.36,0.216532,0.165925,0.149462,0.271685,0.512291,0.24472
1/25/16 6:00,0.366,,0.62498,0.55924,0.401364,0.286629,0.346429,0.248082,0.435018,0.5249,,0.394563,0.407333,0.572002,0.412172,0.439,0.513952,0.211045,0.067088,0.361676,0.594594,0.2607
1/25/16 12:00,0.457,,0.68118,0.68179,0.575223,0.382698,0.514788,0.487137,0.525727,1.38444,1.20333,0.449308,0.587439,0.945647,0.536101,0.645,0.420265,0.411922,0.575792,0.505605,0.731133,0.57912
1/25/16 18:00,0.816,,0.74295,0.70946,0.774814,0.517709,0.849371,0.477848,0.56147,1.06136,1.62473,0.464164,0.865292,1.13696,0.491752,1.111,0.638858,0.622727,1.18792,0.534065,0.967232,0.90652
1/26/16 0:00,0.62,,0.76025,0.80209,1.30646,0.38602,1.31452,1.13486,1.17948,1.28775,0.856165,0.663695,0.560622,0.812099,0.546664,0.61,0.835325,0.593003,0.87655,0.797021,0.945514,0.36658
1/26/16 6:00,0.453,,0.79665,0.96713,0.444241,0.26211,0.372767,0.324442,0.416753,0.59383,0.634119,0.481752,0.489651,0.594004,0.28439,0.474,0.440017,0.344387,0.124829,0.515375,0.601214,0.24724
1/26/16 12:00,0.5,,0.9595,0.87336,0.418943,0.357282,0.36367,,0.430505,0.674997,0.586805,0.495252,0.682558,0.679525,0.314128,0.386,0.396769,0.484994,0.282099,0.660341,0.847145,0.31564
1/26/16 18:00,0.633,,0.75759,0.80197,0.329409,0.259093,0.402581,0.184282,0.354401,0.543259,0.583869,0.330426,0.447077,0.637527,0.218692,0.385,0.397615,0.215534,0.327372,0.350914,0.67032,0.48441
1/27/16 0:00,0.391,,0.83043,0.58702,0.429263,0.23146,0.438975,0.348048,0.522228,1.31078,0.60576,0.499337,0.430574,0.614617,0.29836,0.493,0.50978,0.257368,0.120354,0.415289,0.708482,0.27548
1/27/16 6:00,0.466,,0.72991,0.59402,0.36741,0.265924,0.348209,0.329087,0.422198,0.506824,0.318132,0.439244,0.42209,0.573471,0.262992,0.269,0.464835,0.212689,0.15524,0.403522,0.568962,0.20309
1/27/16 12:00,0.43,,0.69209,0.68544,0.392882,0.31513,0.351092,0.342235,0.405511,,0.389051,0.408818,0.359925,,0.270666,0.342,0.30258,0.124776,0.168862,0.334786,0.513783,0.25692
1/27/16 18:00,0.419,,0.90573,0.84149,0.415534,0.355052,0.353765,0.316304,0.477726,0.617867,0.64176,0.366373,0.420087,0.65673,0.278036,0.495,0.336822,0.17173,0.252866,0.347082,0.518035,0.34631
1/28/16 0:00,0.47,,0.62526,0.58364,0.332658,0.334373,0.274968,0.269797,0.464852,0.472628,0.384855,0.453992,0.382116,0.557533,0.25264,0.361,0.290274,0.159393,0.169708,0.311218,0.522786,0.22572
