date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoPlebA4,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160305,08:00,0.815159,0.444,1.11551,0.55202,0.599,0.445,0.7019,0.397689,0.65642,0.386867,0.49709,0.42918
160305,16:00,0.500644,0.668,0.65257,0.24729,0.835,0.427,0.40515,0.403202,0.50216,0.338257,0.49784,0.40557
160306,00:00,0.702302,0.714,1.11519,0.27343,1.016,0.457,0.28844,0.453436,0.29077,0.355405,0.71432,0.46224
160306,08:00,0.450256,0.44,0.75201,0.24703,0.566,0.505,0.36725,0.476607,0.57118,0.393258,0.63865,0.50023
160306,16:00,0.301527,0.595,0.57107,0.254,0.801,0.509,0.30685,0.490666,0.58874,0.439845,0.50269,0.55786
160307,00:00,0.458753,0.865,1.64776,0.92187,0.558,0.502,0.35733,0.565697,1.15759,0.390709,0.56128,0.26835
160307,08:00,0.918882,0.935,1.38372,1.03574,1.256,1.286,0.92792,0.530798,1.16838,0.553517,0.90381,0.45617
160307,16:00,0.351987,0.636,1.07985,0.32666,0.702,0.594,0.44764,0.396163,0.93445,0.374708,0.4049,0.50978
160308,00:00,0.398631,0.968,0.67265,0.38446,0.718,0.524,0.38573,1.02251,0.84217,0.669101,0.47494,1.66534
160308,08:00,0.480813,0.776,0.88425,0.63184,0.534,0.687,0.42843,0.421587,0.42936,0.463266,0.702,3.00046
160308,16:00,0.595408,0.548,0.93077,0.79056,0.694,0.605,0.38367,0.385708,0.71449,0.291812,0.55857,0.31458
160309,00:00,0.387403,0.8,0.99447,1.67969,0.602,0.534,2.20979,1.43163,0.59847,0.293773,0.40898,0.6025
160309,08:00,0.432179,0.565,1.50406,0.67321,1.474,0.801,1.12209,1.21264,0.53616,0.49353,0.50902,1.04383
160309,16:00,0.463951,0.495,0.79192,0.50124,0.769,0.369,0.35691,0.469128,0.61806,0.34837,0.55116,0.26414
160310,00:00,0.708618,0.625,0.67984,0.68902,0.506,0.302,0.45787,0.525939,0.40248,0.418271,0.59336,0.28269
160310,08:00,0.824818,0.578,0.97881,0.52677,0.556,0.456,0.46079,0.461343,0.40455,0.380859,0.57075,0.44429
